k,method_a,method_b,overlap
50,Spearman,Spearman,1.0
50,Spearman,RF,0.42
50,Spearman,XGB,0.2
50,RF,Spearman,0.42
50,RF,RF,1.0
50,RF,XGB,0.4
50,XGB,Spearman,0.2
50,XGB,RF,0.4
50,XGB,XGB,1.0
100,Spearman,Spearman,1.0
100,Spearman,RF,0.29
100,Spearman,XGB,0.21
100,RF,Spearman,0.29
100,RF,RF,1.0
100,RF,XGB,0.4
100,XGB,Spearman,0.21
100,XGB,RF,0.4
100,XGB,XGB,1.0
200,Spearman,Spearman,1.0
200,Spearman,RF,0.195
200,Spearman,XGB,0.135
200,RF,Spearman,0.195
200,RF,RF,1.0
200,RF,XGB,0.4
200,XGB,Spearman,0.135
200,XGB,RF,0.4
200,XGB,XGB,1.0
300,Spearman,Spearman,1.0
300,Spearman,RF,0.14666666666666667
300,Spearman,XGB,0.12666666666666668
300,RF,Spearman,0.14666666666666667
300,RF,RF,1.0
300,RF,XGB,0.36666666666666664
300,XGB,Spearman,0.12666666666666668
300,XGB,RF,0.36666666666666664
300,XGB,XGB,1.0
