ranking,top_k,sampler,seed,sample_size,mape,mae,r2
Spearman,50,random,42,5000,28.2101087578993,28829228.312,0.46353378451499205
Spearman,50,distance,42,5000,30.16156161134503,30717293.42,0.3215749966248128
Spearman,50,diversified,42,5000,39.030166587324224,57557399.54,0.31788329014851613
Spearman,50,coverage,42,5000,29.07915524288968,36843857.597,0.4912561071739955
Spearman,50,random,43,5000,29.00037932717679,30172736.712,0.4463232641446928
Spearman,50,distance,43,5000,26.85089865709166,29236870.428,0.4829369013033684
Spearman,50,diversified,43,5000,36.92928106362904,54346631.994,0.3556824148825717
Spearman,50,coverage,43,5000,32.02066289408302,43935264.422,0.1583694771561901
Spearman,50,random,44,5000,28.600572605341075,31579792.6,0.18597971611366648
Spearman,50,distance,44,5000,27.642395762304112,26353419.02,0.48914051678665094
Spearman,50,diversified,44,5000,40.42736920175752,57950853.622,-0.04267101199597989
Spearman,50,coverage,44,5000,30.417369163348155,37799359.43375,0.2536395819261662
Spearman,50,random,45,5000,26.514485260743854,29032479.1,0.35185509310515306
Spearman,50,distance,45,5000,29.9098607346108,35933844.482,0.09791867218475736
Spearman,50,diversified,45,5000,37.70707263539747,58086272.162,0.3067453115446762
Spearman,50,coverage,45,5000,30.70954886969076,38910982.032,-0.1728582284642446
Spearman,50,random,46,5000,27.597954021947384,30402781.478,0.4795724760982153
Spearman,50,distance,46,5000,27.56689284800632,30894941.976,0.27066209031741306
Spearman,50,diversified,46,5000,40.42903797686353,55744520.153,0.286001157187472
Spearman,50,coverage,46,5000,29.474231920364453,37151672.072,0.3514345694671662
Spearman,100,random,42,5000,22.958218635812173,21988832.106,0.7864825536812438
Spearman,100,distance,42,5000,23.32750597613576,22366259.174,0.7737839119522467
Spearman,100,diversified,42,5000,23.434168892122152,30697951.32,0.8207245654847479
Spearman,100,coverage,42,5000,23.29092639210095,30376313.232,0.6512676348041817
Spearman,100,random,43,5000,23.040302926810813,21675230.016,0.7469417608198113
Spearman,100,distance,43,5000,23.461263546532717,22555492.274,0.7720933358566298
Spearman,100,diversified,43,5000,23.67681154096389,31266801.19,0.769263492951448
Spearman,100,coverage,43,5000,23.443137744380948,31268620.522,0.6136762554539417
Spearman,100,random,44,5000,23.041321617921593,22562997.858,0.7513073483076286
Spearman,100,distance,44,5000,22.217093796304642,21883204.934,0.8142937621670804
Spearman,100,diversified,44,5000,23.729446263491756,30404708.472,0.7954204083742187
Spearman,100,coverage,44,5000,23.896216001737596,30526038.68,0.7578811415286627
Spearman,100,random,45,5000,22.86867036903418,21713803.152,0.7844592860328566
Spearman,100,distance,45,5000,23.173804409971726,23327143.532,0.7892988248080538
Spearman,100,diversified,45,5000,24.123364990517256,30811248.852,0.796495146181319
Spearman,100,coverage,45,5000,23.851141718195116,29046004.974,0.8287988334776701
Spearman,100,random,46,5000,23.630798230808264,23089603.622,0.7991862848996855
Spearman,100,distance,46,5000,23.89843855158054,24381707.098,0.7321723497139005
Spearman,100,diversified,46,5000,24.49088923491051,30251100.692,0.7984483964674725
Spearman,100,coverage,46,5000,23.598661384298143,31527618.45,0.7585590005991201
Spearman,200,random,42,5000,22.632413604054257,22001936.82,0.7857820120898806
Spearman,200,distance,42,5000,23.80122117032085,21689457.972,0.7686951717739058
Spearman,200,diversified,42,5000,22.64558597991791,30242757.0,0.7823435733333467
Spearman,200,coverage,42,5000,24.684661777850025,32826855.374,0.8004900719843773
Spearman,200,random,43,5000,23.129098085030638,21774866.192,0.7745709396616224
Spearman,200,distance,43,5000,23.88224492938149,23960744.666,0.7219227878500396
