,feature
0,DEBUG_INFO
1,DEBUG_INFO_REDUCED
2,DEBUG_INFO_SPLIT
3,RANDOMIZE_BASE
4,X86_NEED_RELOCS
5,STRICT_MODULE_RWX
6,DRM_NOUVEAU
7,MODULES
8,DRM_GMA500
9,DEBUG_INFO_COMPRESSED
10,GCOV_PROFILE_ALL
11,INTEL_GTT
12,DRM_TTM_HELPER
13,I2C_NVIDIA_GPU
14,DRM_AMDGPU
15,DYNAMIC_PHYSICAL_MASK
16,AMD_MEM_ENCRYPT
17,DMA_COHERENT_POOL
18,ARCH_HAS_FORCE_DMA_UNENCRYPTED
19,BLK_MQ_PCI
20,DRM_TTM
21,DRM_RADEON
22,L2TP
23,UBSAN_ALIGNMENT
24,UBSAN_SANITIZE_ALL
25,DRM_TTM_DMA_PAGE_POOL
26,KCOV_INSTRUMENT_ALL
27,GRO_CELLS
28,SERIO_PCIPS2
29,DIMLIB
30,DRM_QXL
31,ATM
32,DRM_VRAM_HELPER
33,LOCK_STAT
34,SKB_EXTENSIONS
35,MMU_NOTIFIER
36,FB_DDC
37,SBITMAP
38,IP_SCTP
39,OCFS2_DEBUG_MASKLOG
40,FB_CIRRUS
41,BLK_MQ_RDMA
42,SND_HDA
43,RAPIDIO_ENUM_BASIC
44,FB_ARK
45,SND_HDA_GENERIC
46,DRM_I915
47,VMXNET3
48,DRM_NOUVEAU_BACKLIGHT
49,FB_NEOMAGIC
50,PROVE_LOCKING
51,SATA_ACARD_AHCI
52,STACKDEPOT
53,SND_SOC_RT5663
54,SPI_AMD
55,SCSI_ISCSI_ATTRS
56,DRM_BOCHS
57,PROVE_RCU
58,UDF_FS
59,NET_DSA_MT7530
60,USB_G_DBGP
61,CONNECTOR
62,CEPH_LIB
63,BRIDGE
64,AMIGA_PARTITION
65,TARGET_CORE
66,MLX5_CORE
67,XFRM_IPCOMP
68,INET6_ESP
69,RFKILL_GPIO
70,I2C_SIS5595
71,NET_IPVTI
72,OCFS2_FS
73,HID_CHICONY
74,XFRM_OFFLOAD
75,NET_DEVLINK
76,PCI_SW_SWITCHTEC
77,STREAM_PARSER
78,DELL_RBTN
79,DNS_RESOLVER
80,SERIAL_8250_MID
81,BATMAN_ADV_TRACING
82,INET6_AH
83,HP_ILO
84,FB_SAVAGE
85,NET_SWITCHDEV
86,MDIO_XPCS
87,IBM_ASM
88,SCSI_FC_ATTRS
89,LLC
90,USB_F_ACM
91,MII
92,DQL
93,HID_WIIMOTE
94,MSI_WMI
95,QRTR
96,SND_SOC_WM_ADSP
97,BLK_SED_OPAL
98,SND_HDA_CORE
99,BT_MTKUART
100,JBD2
101,DEBUG_LOCK_ALLOC
102,DRM_CIRRUS_QEMU
103,LOCKDEP
104,MDIO_CAVIUM
105,TIFM_CORE
106,MDIO
107,SND_SOC_RT5682_I2C
108,NVME_CORE
109,SG_POOL
110,AF_RXRPC
111,SND_SOC_RT5651
112,SND_SOC_SI476X
113,BQL
114,SND_SOC_RT5670
115,BT_HCIVHCI
116,CRYPTO_USER_API_AEAD
117,LWTUNNEL
118,IOMMU_API
119,ATM_LANE
120,CRYPTO_GCM
121,SND_HDA_EXT_CORE
122,NET_VENDOR_NETERION
123,XFRM_AH
124,LLC2
125,VLAN_8021Q
126,FAILOVER
127,XFS_FS
128,GENERIC_NET_UTILS
129,MAXSMP
130,NET
131,PHYLINK
132,NET_IPIP
133,USB_F_MASS_STORAGE
134,HAVE_NET_DSA
135,AMD_NB
136,BLK_PM
137,CRYPTO_USER_API
138,ADFS_FS_RW
139,TCP_CONG_CUBIC
140,NET_VENDOR_CHELSIO
141,DRM_VMWGFX
142,DRM_MIPI_DSI
143,FB_UVESA
144,FUSION_FC
145,INFINIBAND_USER_ACCESS
146,UFS_FS_WRITE
147,HID_GEMBIRD
148,LEDS_LM3530
149,FB_S3_DDC
150,OCFS2_FS_O2CB
151,RDS
152,HID_AUREAL
153,SCSI_ENCLOSURE
154,RFKILL
155,BLK_INLINE_ENCRYPTION
156,HID_PLANTRONICS
157,SERIAL_IFX6X60
158,FS_MBCACHE
159,DRM_VBOXVIDEO
160,NFC
161,EROFS_FS_ZIP
162,GPIO_BT8XX
163,TERANETICS_PHY
164,HABANA_AI
165,BT_MRVL
166,UFS_FS
167,BT_HCIBTSDIO
168,NET_IFE
169,SENSORS_K8TEMP
170,MAPPING_DIRTY_HELPERS
171,BCM_NET_PHYLIB
172,EXT3_FS
173,MPLS
174,HID_SUNPLUS
175,CROS_EC_DEBUGFS
176,HID_LED
177,USB_F_SERIAL
178,BLK_DEV_IDETAPE
179,SECCOMP_FILTER
180,INET_ESP
181,NLATTR
182,SND_SOC_HDAC_HDA
183,BLK_DEV_ALI15X3
184,IBM_RTL
185,ATALK
186,WIMAX
187,FB_MB862XX
188,NET_DSA_TAG_LAN9303
189,BLK_DEV_INTEGRITY_T10
190,LCD_AMS369FG06
191,MFD_VX855
192,MDIO_THUNDER
193,MISC_RTSX_USB
194,HID_ZYDACRON
195,SND_SOC_RT5514
196,HID_VIEWSONIC
197,SENSORS_I5K_AMB
198,HID_GENERIC
199,INFINIBAND_ON_DEMAND_PAGING
200,CAN_KVASER_USB
201,INET_TUNNEL
202,HID_PICOLCD
203,BTRFS_FS
204,SND_SOC_TLV320AIC32X4
205,BLK_DEV_BSGLIB
206,COMPAL_LAPTOP
207,HID_GFRM
208,PHY_QCOM_USB_HSIC
209,SENSORS_ADC128D818
210,BCM84881_PHY
211,NET_VENDOR_CISCO
212,VIDEO_OV7740
213,SCSI_NETLINK
214,EISA_VLB_PRIMING
215,UNIX
216,USB_LINK_LAYER_TEST
217,DVB_MXL5XX
218,INFINIBAND_MTHCA
219,BLK_DEV_BSG
220,NET_NSH
221,UNIX98_PTYS
222,NET_VENDOR_CORTINA
223,BCM7XXX_PHY
224,SENSORS_ADM1026
225,PACKET
226,BLK_DEV_CMD64X
227,FB_SVGALIB
228,NET_RX_BUSY_POLL
229,CAN_C_CAN
230,CAN_GW
231,MSPRO_BLOCK
232,USBIP_VUDC
233,ETHTOOL_NETLINK
234,XFRM_ALGO
235,CHR_DEV_SG
236,CAN
237,SSB_PCIHOST_POSSIBLE
238,MFD_DA9062
239,SND_SOC_RT298
240,FAT_FS
241,SND_SOC_TAS5086
242,USB_F_ECM
243,INET6_XFRM_TUNNEL
244,HID_SENSOR_HUB
245,FIB_RULES
246,GARP
247,ACENIC
248,CRYPTO_USER
249,NET_UDP_TUNNEL
250,AGP_SIS
251,CRYPTO_USER_API_RNG
252,NET_SCH_PRIO
253,INET
254,SND_SOC_AK5386
255,PSAMPLE
256,INET_XFRM_TUNNEL
257,DEBUG_KMEMLEAK
258,NILFS2_FS
259,SCTP_DEFAULT_COOKIE_HMAC_MD5
260,EFS_FS
261,CHT_DC_TI_PMIC_OPREGION
262,VIDEO_OV772X
263,SCHED_DEBUG
264,BT_HCIBFUSB
265,IP_DCCP_CCID2_DEBUG
266,ARCH_USE_MEMREMAP_PROT
267,UCLAMP_TASK_GROUP
268,BNX2X
269,PANIC_ON_OOPS
270,DRM_I915_GVT
271,EXT4_KUNIT_TESTS
272,MQ_IOSCHED_DEADLINE
273,NETWORK_FILESYSTEMS
274,HFS_FS
275,SECURITY_TOMOYO_OMIT_USERSPACE_LOADER
276,INTERVAL_TREE
277,I2C_MUX_PCA954x
278,RFKILL_INPUT
279,FUJITSU_TABLET
280,EXT4_FS
281,USB_STORAGE_REALTEK
282,NETDEVICES
283,USB_CXACRU
284,NVME_FABRICS
285,SCSI_SAS_ATTRS
286,APPLE_GMUX
287,NET_SOCK_MSG
288,ENCLOSURE_SERVICES
289,SND_SOC_RT286
290,SND_SOC_WM8996
291,GPIO_UCB1400
292,UIO_CIF
293,TOUCHSCREEN_MTOUCH
294,SND_SOC_RT5660
295,QED_FCOE
296,MXM_WMI
297,CAN_VXCAN
298,ICPLUS_PHY
299,IPV6_MIP6
300,ADFS_FS
301,IP_DCCP
302,SENSORS_THMC50
303,CFG80211_REQUIRE_SIGNED_REGDB
