,feature
0,DEBUG_INFO
1,MODULES
2,STRICT_MODULE_RWX
3,ARCH_HAS_FORCE_DMA_UNENCRYPTED
4,DMA_COHERENT_POOL
5,DYNAMIC_PHYSICAL_MASK
6,AMD_MEM_ENCRYPT
7,RANDOMIZE_BASE
8,X86_NEED_RELOCS
9,GDB_SCRIPTS
10,DEBUG_INFO_DWARF4
11,DRM_VRAM_HELPER
12,DRM_TTM_HELPER
13,DRM_TTM
14,RAPIDIO_ENUM_BASIC
15,DRM_AMDGPU
16,FB_DDC
17,INTEL_GTT
18,GCOV_PROFILE_ALL
19,MEDIA_ATTACH
20,MODULE_SIG_SHA1
21,MODULE_SIG
22,VGASTATE
23,MODULE_SIG_FORMAT
24,SND_SOC_I2C_AND_SPI
25,SND_SOC_RL6231
26,FB_SVGALIB
27,DEBUG_INFO_REDUCED
28,SND_SOC
29,LEDS_LP55XX_COMMON
30,SND_DMAENGINE_PCM
31,SND_SOC_SIGMADSP
32,MODVERSIONS
33,ASM_MODVERSIONS
34,DRM_I915
35,DRM_PANEL_ORIENTATION_QUIRKS
36,DRM_KMS_HELPER
37,DRM_NOUVEAU
38,DRM
39,SND_SOC_ADAU_UTILS
40,SND_SOC_SIGMADSP_REGMAP
41,SND_SOC_ADAU17X1
42,SND_SOC_MAX98357A
43,DRM_BOCHS
44,RANDOMIZE_MEMORY
45,AC97_BUS
46,DRM_RADEON
47,SND_PCM
48,DRM_VMWGFX
49,DRM_AST
50,SND_SOC_DMIC
51,SND_SOC_ADAU7118
52,DRM_CIRRUS_QEMU
53,SOC_ASPEED
54,ROCKCHIP_GRF
55,COMPILE_TEST
56,IMX_INTMUX
57,DRM_QXL
58,SND_SIMPLE_CARD_UTILS
59,I2C_SMBUS
60,SND_SOC_ES8328
61,SND_HDA_CORE
62,DRM_ANALOGIX_DP
63,GPIO_MXC
64,GPIO_MXS
65,SND_SOC_RT5682
66,DRM_VBOXVIDEO
67,SND_TIMER
68,SOC_BUS
69,DRM_GMA500
70,SND_AC97_CODEC
71,SND_SOC_HDMI_CODEC
72,DRM_SCHED
73,MODULE_FORCE_LOAD
74,HID_LED
75,SND_RAWMIDI
76,DRM_MGAG200
77,SND_SOC_PCM179X
78,MODULE_SRCVERSION_ALL
79,SND
80,FB_BACKLIGHT
81,SND_HDA_GENERIC
82,SND_HDA
83,SND_SOC_TLV320AIC23
84,STMP_DEVICE
85,CRYPTO_LIB_POLY1305
86,SND_SOC_DA7219
87,MODULE_COMPRESS
88,MODULE_COMPRESS_GZIP
89,SND_SOC_TLV320AIC32X4
90,FB_SAVAGE
91,DRM_DEBUG_SELFTEST
92,SND_SOC_CS4271
93,CRYPTO_LIB_CHACHA
94,SND_SOC_RT5645
95,SND_SOC_SGTL5000
96,SND_SOC_ADAU7002
97,DEBUG_INFO_SPLIT
98,SND_SOC_ES8328_I2C
99,SND_SOC_PCM512x
100,SND_SOC_PCM3168A
101,FB_SYS_FOPS
102,FB_RADEON
103,FB_VIA
104,SND_SOC_WM8804
105,MODULE_ALLOW_MISSING_NAMESPACE_IMPORTS
106,SND_SOC_TS3A227E
107,SND_SIMPLE_CARD
108,SND_SOC_PCM186X
109,DRM_VGEM
110,FB_CYBER2000
111,SND_SOC_SSM2602
112,AMD_MEM_ENCRYPT_ACTIVE_BY_DEFAULT
113,SND_SOC_SPDIF
114,MODULE_UNLOAD
115,I2C_MUX
116,SND_SOC_ADAU1761
117,FB_SYS_FILLRECT
118,FB_SYS_COPYAREA
119,MTK_INFRACFG
120,FB_MATROX
121,FB_LE80578
122,SND_SOC_FSL_SSI
123,FB_SYS_IMAGEBLIT
124,FB_3DFX
125,FB_ATY128
126,FB_SM712
127,FB_KYRO
128,FB_CFB_IMAGEBLIT
129,FB_CFB_FILLRECT
130,FB_CFB_COPYAREA
131,FB_TRIDENT
132,SND_SOC_WM8731
133,SND_SOC_WM8753
134,FB_VOODOO1
135,FB_CIRRUS
136,SND_HWDEP
137,FB_I740
138,FB
139,SND_SOC_FSL_SAI
140,SENSORS_DS620
141,SND_SOC_FSL_AUDMIX
142,FB_PM2
143,SND_SOC_MAX98927
144,SND_SOC_WM8903
145,SND_SOC_PCM3060
146,FB_MB862XX
147,SND_SOC_SSM4567
148,SND_SOC_SIRF_AUDIO_CODEC
149,SENSORS_LM78
150,SND_SOC_CS42L51
151,FB_S3
152,SND_SOC_WM8580
153,SND_SOC_NAU8824
154,FB_SIS
155,FB_RIVA
156,SND_SOC_FSL_ESAI
157,SENSORS_NCT7802
158,SND_SOC_RT5682_I2C
159,TIFM_CORE
160,SND_SOC_IMX_AUDMUX
161,UNUSED_SYMBOLS
162,SND_SOC_MAX98373
163,SND_SOC_WM8750
164,FB_CARMINE
165,SND_SOC_CX2072X
166,FB_NVIDIA
167,VHOST_IOTLB
168,SND_SOC_FSL_SPDIF
169,FB_PM3
170,FB_ATY
171,INTEL_MEI_ME
172,DRM_VKMS
173,SENSORS_ADM9240
174,SND_SOC_RT5631
175,FB_NEOMAGIC
176,SND_SOC_PCM1789_I2C
177,SND_SOC_PCM1789
178,SND_SOC_TLV320AIC23_I2C
179,SND_SOC_WM8904
180,SND_SOC_ES8316
181,SND_SOC_CS43130
182,SND_SOC_TLV320AIC31XX
183,SND_HDA_EXT_CORE
184,SND_COMPRESS_OFFLOAD
185,DRM_I2C_NXP_TDA998X
186,SND_SOC_PCM179X_I2C
187,SND_SOC_FSL_MICFIL
188,SND_SOC_CS4271_I2C
189,SENSORS_SHT21
190,OPTPROBES
191,KRETPROBES
192,KPROBES
193,FUNCTION_ERROR_INJECTION
194,SND_SOC_WM8978
195,SND_SOC_MAX9759
196,SND_SOC_WM8741
197,DRM_VIRTIO_GPU
198,SND_SOC_WM8523
199,DRM_ANALOGIX_ANX78XX
200,SENSORS_MAX6642
201,SND_BCM63XX_I2S_WHISTLER
202,SND_SOC_CS4349
203,SND_SOC_WM8960
204,SENSORS_ATXP1
205,SENSORS_EMC1403
206,SENSORS_LTC2947
207,FB_ARK
208,SND_SOC_ADAU1761_I2C
209,SND_SOC_WM8974
210,SND_SOC_CS35L33
211,SND_SOC_TFA9879
212,SND_SOC_MAX98504
213,SND_SOC_TDA7419
214,SND_SOC_MSM8916_WCD_DIGITAL
215,CRYPTO_LIB_CHACHA20POLY1305
216,SND_SOC_TLV320AIC32X4_I2C
217,SND_SOC_TLV320ADCX140
218,SND_SOC_MT6660
219,SND_SOC_HDAC_HDMI
220,FB_VT8623
221,SND_SOC_WM8711
222,SND_SOC_STA350
223,SND_SOC_CS35L32
224,SND_SOC_NAU8822
225,RESET_SIMPLE
226,SENSORS_ADT7411
227,SND_SOC_ADAU7118_I2C
228,SND_SOC_WM8804_I2C
229,SND_DESIGNWARE_I2S
230,SERIO_LIBPS2
231,SND_SOC_CS42L42
232,DRM_PANEL_RASPBERRYPI_TOUCHSCREEN
233,SND_SOC_TAS571X
234,SND_SOC_DA7213
235,SENSORS_LTC4151
236,SENSORS_SHT3x
237,SND_SOC_TAS5086
238,SND_SOC_MAX98088
239,DRM_I2C_NXP_TDA9950
240,SENSORS_W83781D
241,SENSORS_ADC128D818
242,SND_SOC_CS42XX8_I2C
243,SND_SOC_CS42XX8
244,SND_SOC_AMD_ACP
245,SND_SOC_CS4341
246,SND_SOC_MAX9867
247,SND_SOC_NAU8810
248,DRM_I2C_SIL164
249,SND_SOC_CS35L36
250,SND_SOC_PCM512x_I2C
251,SENSORS_LM92
252,SND_SOC_PCM3168A_I2C
253,SND_SOC_SSM2602_I2C
254,SND_SOC_GTM601
255,SENSORS_ADM1029
256,BACKLIGHT_BD6107
257,SENSORS_W83793
258,SENSORS_TMP421
259,ZX_TDM
260,SENSORS_W83L786NG
261,SENSORS_LTC4245
262,SND_SOC_CS35L34
263,SENSORS_K10TEMP
264,SND_SOC_RL6347A
265,BACKLIGHT_ARCXCNN
266,SND_I2S_HI6210_I2S
267,SENSORS_FAM15H_POWER
268,SND_SOC_CS4265
269,SENSORS_INA3221
270,DRM_ETNAVIV
271,SENSORS_G760A
272,SENSORS_ADT7X10
273,SND_SOC_AK4642
274,SND_SOC_RK3328
275,SENSORS_EMC2103
276,SND_SOC_CS35L35
277,IIO_ST_SENSORS_I2C
278,SND_SOC_ZX_AUD96P22
279,SENSORS_LTC2990
280,SND_SOC_WM8962
281,SENSORS_ADM1031
282,SND_SOC_PCM186X_I2C
283,SND_SOC_TLV320AIC3X
284,SND_SOC_WM8510
285,BACKLIGHT_ADP8860
286,SENSORS_ADT7470
287,SENSORS_SMM665
288,SND_SOC_BT_SCO
289,SENSORS_TMP103
290,SND_SOC_RT5616
291,SENSORS_STTS751
292,SND_SOC_WM8737
293,SENSORS_DME1737
294,SENSORS_VIA686A
