,feature
0,DRM_GMA500
1,SCSI_FC_ATTRS
2,INTEL_GTT
3,FB_DDC
4,DEBUG_INFO_REDUCED
5,DEBUG_INFO_SPLIT
6,DRM_NOUVEAU
7,SERIO_PCIPS2
8,DEBUG_INFO
9,BRIDGE
10,INET_ESP
11,TOUCHSCREEN_CYTTSP_SPI
12,STRICT_MODULE_RWX
13,RANDOMIZE_BASE
14,DRM_TTM_HELPER
15,FB_ARK
16,DRM_QXL
17,I2C_VIAPRO
18,PHY_QCOM_USB_HSIC
19,SND_HDA
20,USB_F_SERIAL
21,DRM_TTM
22,MMC_SPI
23,NET_DSA_TAG_KSZ
24,PHYLINK
25,DRM_AMDGPU
26,GPIO_BD70528
27,SND_SOC_DA7210
28,PCI_SW_SWITCHTEC
29,NET_VENDOR_SILAN
30,IP_SCTP
31,GRO_CELLS
32,UNIX
33,BLK_MQ_PCI
34,NET_IPVTI
35,STREAM_PARSER
36,MDIO_XPCS
37,RDMA_RXE
38,DEVICE_PRIVATE
39,BLK_DEV_ALI15X3
40,HID_GFRM
41,SND_SOC_ES8328_I2C
42,SND_SOC_RT5651
43,DEBUG_INFO_COMPRESSED
44,BT_HCIBT3C
45,SCSI_SPI_ATTRS
46,TCG_TIS_ST33ZP24_I2C
47,BLK_SCSI_REQUEST
48,XFRM_AH
49,MDIO_CAVIUM
50,HID_LED
51,SND_SOC_SIGMADSP
52,IPV6_OPTIMISTIC_DAD
53,AMIGA_PARTITION
54,SENSORS_DS1621
55,MFD_RT5033
56,SQUASHFS
57,REGULATOR_LP87565
58,DRM_VRAM_HELPER
59,HID_AUREAL
60,DRM_NOUVEAU_BACKLIGHT
61,CONNECTOR
62,DMA_COHERENT_POOL
63,BT_INTEL
64,JBD2
65,TERANETICS_PHY
66,NET_DEVLINK
67,MDIO
68,XFRM_OFFLOAD
69,BLK_DEV_GENERIC
70,UCLAMP_TASK
71,USB_STORAGE_REALTEK
72,DIMLIB
73,MTD_MCHP23K256
74,SND_SOC_RT5670
75,AFFS_FS
76,SND_SOC_RT5663
77,I2C_NVIDIA_GPU
78,SND_SIMPLE_CARD
79,BQL
80,ANDROID_BINDERFS
81,BLOCK
82,DRM_RADEON
83,FB_NVIDIA_I2C
84,GOOGLE_COREBOOT_TABLE
85,MDIO_THUNDER
86,IP_DCCP_CCID3
87,SND_SOC_PCM3060_I2C
88,GADGET_UAC1
89,SND_SOC_WM_ADSP
90,USB_SERIAL_OPTION
91,KGDB_LOW_LEVEL_TRAP
92,FB_UVESA
93,MMU_NOTIFIER
94,PAGE_POOL
95,SG_POOL
96,GCOV_PROFILE_ALL
97,REISERFS_FS
98,FIB_RULES
99,RAID6_PQ
100,BT_BREDR
101,BRIDGE_MRP
102,NET_IP_TUNNEL
103,CGROUP_HUGETLB
104,INTEL_SMARTCONNECT
105,NET_SWITCHDEV
106,PCI_DOMAINS
107,DNS_RESOLVER
108,F2FS_FS_SECURITY
109,FIREWIRE_NOSY
110,AF_RXRPC
111,CRYPTO_GCM
112,RTS5208
113,X86_POWERNOW_K8
114,GENERIC_NET_UTILS
115,SURFACE_3_POWER_OPREGION
116,UBSAN_ALIGNMENT
117,MII
118,BNX2X
119,USB_F_MASS_STORAGE
120,VIDEO_IR_I2C
121,LOOPBACK_TARGET
122,EXT4_FS
123,XFRM_IPCOMP
124,CRC_T10DIF
125,SND_SOC_SI476X
126,USB_CONFIGFS_EEM
127,SND_SOC_I2C_AND_SPI
128,FB_MATROX_MILLENIUM
129,PNFS_FILE_LAYOUT
130,NF_LOG_NETDEV
131,HID_STEAM
132,SND_SOC_AD193X_I2C
133,FS_IOMAP
134,IR_NEC_DECODER
135,LOCKDEP
136,SENSORS_SIS5595
137,CRYPTO_SERPENT_AVX2_X86_64
138,EFI_VARS_PSTORE
139,PATA_IT8213
140,HID_SONY
141,CNIC
142,LEDS_DAC124S085
143,NET_UDP_TUNNEL
144,SND_CTXFI
145,GPIO_MSIC
146,L2TP_DEBUGFS
147,HP_WIRELESS
148,IP_MROUTE_COMMON
149,VGA_CONSOLE
150,DRM_CIRRUS_QEMU
151,SND_SOC_RT5514
152,X86_BOOTPARAM_MEMORY_CORRUPTION_CHECK
153,PINCTRL_MTK
154,VIDEO_XILINX_TPG
155,NVME_CORE
156,JOYSTICK_PSXPAD_SPI_FF
157,NFC_PN533
158,IP_VS_PROTO_SCTP
159,I2C_MULTI_INSTANTIATE
160,SCSI_QLA_ISCSI
161,CAN_KVASER_USB
162,TI_ADC12138
163,CRYPTO_USER_API
164,HW_RANDOM_VIRTIO
165,SENSORS_ADC128D818
166,CEPH_LIB
167,USB_G_MULTI
168,LLC
169,FB_BACKLIGHT
170,IIO_ST_ACCEL_3AXIS
171,KEYBOARD_APPLESPI
172,MEDIA_ALTERA_CI
173,BACKLIGHT_LP855X
174,BCM7XXX_PHY
175,NVME_TARGET_FC
176,FIND_BIT_BENCHMARK
177,SND_HDA_GENERIC
178,NVME_TARGET_TCP
179,SND_SOC_RT5640
180,REGULATOR_DA9052
181,SND_SOC_WM8996
182,SCSI_SRP_ATTRS
183,SM_FTL
184,GPIO_WM8994
185,SND_SOC_HDMI_CODEC
186,FS_MBCACHE
187,SCSI_ISCSI_ATTRS
188,TCP_CONG_CUBIC
189,VIDEOBUF2_VMALLOC
190,USB_CHIPIDEA_TEGRA
191,ADFS_FS
192,SND_SOC_SSM2602_I2C
193,RD_LZ4
194,INPUT_TPS65218_PWRBUTTON
195,SND_SOC_MT6351
196,RTC_DRV_RX6110
197,HDLC_CISCO
198,BATMAN_ADV_TRACING
199,UBSAN_SANITIZE_ALL
200,USB_EHCI_PCI
201,WEXT_CORE
202,CHR_DEV_SCH
203,STM_SOURCE_CONSOLE
204,INET
205,SBITMAP
206,VIDEO_M52790
207,SND_HDA_CORE
208,MELLANOX_PLATFORM
209,DRM_TDFX
210,RAID_ATTRS
211,PROVE_LOCKING
212,MTD_REDBOOT_PARTS_UNALLOCATED
213,BT_HCIVHCI
214,NVME_MULTIPATH
215,SND_SOC_RT5677
216,BT_HCIUART_LL
217,RAW_DRIVER
218,DP83TC811_PHY
219,CEPH_LIB_PRETTYDEBUG
220,VHOST_IOTLB
221,MFD_DA9062
222,FB_MATROX
223,USB_SERIAL_MOS7720
224,SND_SOC_MAX98090
225,UIO
226,W1_SLAVE_DS2431
227,KCOV_INSTRUMENT_ALL
228,MEDIA_TUNER_TDA18212
229,SATA_SIL
230,VIDEO_CX25840
231,AF_KCM
232,TOUCHSCREEN_SILEAD
233,MOUSE_PS2_LOGIPS2PP
234,MOST_DIM2
235,XPS
236,BMI160
237,SND_USB_HIFACE
238,USB_SERIAL_SPCP8X5
239,SOCK_CGROUP_DATA
240,SND_SOC_SIRF_AUDIO_CODEC
241,MDIO_MSCC_MIIM
242,SMC
243,DRM_I915
244,UFS_DEBUG
245,DST_CACHE
246,IPV6_ILA
247,VIDEO_OV5645
248,ARCNET_RAW
249,DRM_GEM_SHMEM_HELPER
250,SND_X86
251,DRM_CHRONTEL_CH7033
252,UIO_CIF
253,USB_SISUSBVGA_CON
254,SCSI
255,ATA_BMDMA
256,DRM_DW_HDMI_I2S_AUDIO
257,SND_SOC_AMD_CZ_RT5645_MACH
258,SENSORS_AMC6821
259,HAVE_NET_DSA
260,FB_3DFX_ACCEL
261,TEST_OBJAGG
262,TRACER_MAX_TRACE
263,EXPERT
264,INET_TUNNEL
265,XFS_FS
266,INTEL_PCH_THERMAL
267,HFS_FS
268,SND_SOC_CS42XX8
269,SCSI_CXGB3_ISCSI
270,I2C_MUX_LTC4306
271,QEDF
272,EDAC_SKX
273,CRYPTO_LZO
274,DMI_SYSFS
275,VIDEO_TC358743
276,SND_SOC_TLV320AIC32X4
