ranking,top_k,sampler,mape_mean,mape_std,mae_mean,mae_std,r2_mean,r2_std,runs
RF,50,coverage,15.499795903458244,0.5568692834936112,16859109.734,716397.3555136864,0.9276109116342688,0.014652975546371804,5
RF,50,distance,15.4175732302832,0.2229288539079401,14830528.577200001,710502.587536555,0.8793974821999274,0.03249808619133942,5
RF,50,diversified,15.163645811855833,0.4694358549726707,19760128.0136,927086.7971350884,0.9377031926490487,0.008411584359694925,5
RF,50,random,15.144153478084608,0.11469437008357505,15017841.3444,438469.690431221,0.880834894042396,0.03161125428400674,5
RF,100,coverage,13.529602166895291,0.3316002570410084,17197911.402,430735.35742488096,0.9180932279868717,0.005920843192922798,5
RF,100,distance,13.543166032779638,0.4624073799039271,14042755.551999997,1016283.9488931493,0.8641969467510137,0.01407623554648649,5
RF,100,diversified,12.606921239679654,0.24523941226125204,17505363.972400002,680705.4334462424,0.9364741237786959,0.010008044983942149,5
RF,100,random,13.47989827779871,0.21879358982634292,14274094.9968,545706.0507181272,0.8603036903699597,0.017389178350781985,5
RF,200,coverage,12.481378701074878,0.4956015416644323,16282684.9396,594637.4213572055,0.9093627028678846,0.015547319946795804,5
RF,200,distance,13.250854464877204,0.4024753054447605,14512974.422400001,1408839.877679878,0.8392729090657145,0.037896268850388305,5
RF,200,diversified,12.431571243687475,0.22992960834941661,17486382.0728,784839.6750798529,0.9339945860621341,0.009349254620835452,5
RF,200,random,12.708922845198733,0.2887668841657997,13853647.086000001,581258.6211614623,0.847721201303731,0.021952502963308227,5
RF,300,coverage,12.267458712320652,0.3747039419090902,16239932.526800001,1213337.1460975492,0.9193059303831099,0.0024668639839969518,5
RF,300,distance,13.098592434363448,0.39297331759048965,14539714.2476,1048436.2988290876,0.8319472156719332,0.038086015233092366,5
RF,300,diversified,12.405776686968801,0.44314952511309946,17558290.880000003,1401545.0438165625,0.9038797350919167,0.01630031491490541,5
RF,300,random,12.868454691481688,0.4542110918987729,14378523.4504,825951.9573203993,0.8224161996509389,0.021510436103161,5
Spearman,50,coverage,30.340193618075215,1.1517881532516099,38928227.11135,2908857.436207751,0.2163683014518547,0.25002825142807344,5
Spearman,50,distance,28.426321922671583,1.503916653998529,30627273.8652,3479888.590346243,0.3324466354434005,0.16289504340701327,5
Spearman,50,diversified,38.90458549299436,1.5807008606376622,56737135.494200006,1632934.9915902242,0.24472823235345126,0.16264254608657447,5
Spearman,50,random,27.98469999462168,0.9711869671782438,30003403.6404,1117425.6869280518,0.3854528667953439,0.12204372585322416,5
Spearman,100,coverage,23.61601664814255,0.25964758396932175,30548919.171600003,970166.187302074,0.7220365731727153,0.08770276806504884,5
Spearman,100,distance,23.215621256105077,0.6200611907343024,22902761.4024,976640.4716337201,0.7763284368995823,0.029932288622674295,5
Spearman,100,diversified,23.890936184401113,0.4166927913662487,30686362.1052,394151.55952534685,0.7960704018918412,0.018253053901268572,5
Spearman,100,random,23.107862356077405,0.30085707781194954,22206093.3508,608140.4433058924,0.7736754467482452,0.02316321346482298,5
Spearman,200,coverage,24.96999004963407,0.4728979106371354,32792197.925199997,1920989.3172922777,0.7706753853021441,0.019254072635526847,5
Spearman,200,distance,23.9376836302633,0.12301353259789478,22748000.949,1116788.1917802123,0.7590839669948342,0.04309799369068675,5
Spearman,200,diversified,22.23799095405144,0.49827778539607215,28749791.3476,1492045.3580249704,0.7913783808955867,0.010815746113725499,5
Spearman,200,random,23.424546470989924,0.9807036452465321,22701668.781600002,1451590.653364614,0.7529564741312753,0.04282824419163438,5
Spearman,300,coverage,25.062299646406963,0.9439967181886543,32847584.9432,1683204.3611261018,0.7826495510499567,0.01502430446971228,5
Spearman,300,distance,22.88698084314959,0.7472860995970657,22569582.2524,1664075.9268772437,0.7363298741823914,0.05426673087824741,5
Spearman,300,diversified,22.781520787912022,0.788858325536912,27927996.9764,826951.02441184,0.7426169186497221,0.05360432461006579,5
Spearman,300,random,23.048974170349958,0.6051889407549377,22431081.5964,1193583.3975290018,0.7508114540559607,0.04391284791101272,5
XGB,50,coverage,27.014649029165536,1.4110055199148315,26660908.658,1602281.5242160505,0.8699157259342142,0.012347684096308865,5
XGB,50,distance,27.230750092914224,0.6756303798873017,23171738.1616,1620735.452494944,0.8171456032550889,0.005734680351389481,5
XGB,50,diversified,25.006864203068012,0.3242221218735137,30872213.8844,838099.567911336,0.8786982019533538,0.03241110536597381,5
XGB,50,random,28.520843047673132,0.5766888995403294,24033781.666,720572.6425058628,0.8099740786278329,0.04309794617186752,5
XGB,100,coverage,16.76587285952781,0.4074771222329087,21208544.2492,1605064.8720936528,0.893327227942612,0.038266910602560905,5
XGB,100,distance,17.381638542521145,0.4856329796142088,15920819.9892,680268.8035702077,0.8709442067145752,0.02243916710115323,5
XGB,100,diversified,17.05900503099408,0.2164029410710609,22578066.979199998,877627.490312082,0.9105692544830974,0.016782748791575826,5
XGB,100,random,17.556656400183595,0.5444483324304695,17489652.78,1148474.2489535618,0.8387108267784488,0.05382213376232875,5
XGB,200,coverage,13.451789253779449,0.4512154131068199,17189535.378799997,482050.10933368496,0.911968174559785,0.024599490107543996,5
XGB,200,distance,14.688421829685131,0.6728416120486936,15304708.4236,1128905.1799032674,0.8287200100991756,0.05463997360360719,5
XGB,200,diversified,13.317077633192408,0.6559458265959672,18809701.6336,1061594.100824798,0.9177354968915108,0.012233378164000176,5
